2024_04_16__03:10:18.495236: CONFIG: CAN_MODE = 0, CAMERA_MODE = 1, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__03:10:19.435303: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -8.099065612473668, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.485046: Iter 1, FPS: 1.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 1.063754446255001, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -11.717010257281434, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.537483: Iter 2, FPS: 20.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.514457878467738, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -29.51919034377309, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.583503: Iter 3, FPS: 19.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.070826115226, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -43.646224375996965, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.636144: Iter 4, FPS: 21.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 21.729330397616888, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -136.797882511637, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.687597: Iter 5, FPS: 19.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.363658607524226, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -20.871187831885653, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.750414: Iter 6, FPS: 19.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.435259882581356, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -20.875396033482335, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.800142: Iter 7, FPS: 15.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.9194142808886, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -26.80289202385369, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.851512: Iter 8, FPS: 20.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.10942878786426, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -87.39054898036596, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.900463: Iter 9, FPS: 19.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.466469881139684, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.0905592141325107, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.951472: Iter 10, FPS: 20.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.428728678998997, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.342599364240407, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:19.999194: Iter 11, FPS: 19.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.604223436426437, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.6172057018037336, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.051483: Iter 12, FPS: 21.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.954651505538042, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.6182266409219617, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.100476: Iter 13, FPS: 19.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.12473952752459, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.7647680243845274, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.149935: Iter 14, FPS: 20.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.410834379592593, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -5.263653006359556, 'throttle': 0.0, 'brake': 0.0}
