2024_04_16__19:27:17.588537: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__19:27:19.081116: Iter 0, FPS: -1.0, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08881161985773955, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:27:19.170981: Iter 1, FPS: 0.7, STATE: {'speed': -7.502738753828453e-06, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.6699812949157632, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08885651250997245, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:27:19.262545: Iter 2, FPS: 11.0, STATE: {'speed': 0.3569764494895935, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.005638865929336, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0889252468063641, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:27:19.355298: Iter 3, FPS: 10.9, STATE: {'speed': 1.2684226036071777, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.92130150397867, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09207100281045538, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:27:19.450022: Iter 4, FPS: 10.8, STATE: {'speed': 2.4911651611328125, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.781496447556474, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08512952192868073, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:27:19.540947: Iter 5, FPS: 10.6, STATE: {'speed': 3.3288395404815674, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.55694016909009, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08490125861432973, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:27:19.629221: Iter 6, FPS: 11.1, STATE: {'speed': 4.084480285644531, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.056787806253988, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.07598982530374965, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:27:19.726164: Iter 7, FPS: 11.3, STATE: {'speed': 4.95614767074585, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.266530568389385, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.06619042211437337, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:27:19.834463: Iter 8, FPS: 10.4, STATE: {'speed': 6.201844215393066, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.422650849108647, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.05305203596329516, 'throttle': 0.0, 'brake': 0.12018442153930664}
2024_04_16__19:27:19.926265: Iter 9, FPS: 9.3, STATE: {'speed': 7.159127235412598, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.31370062864033, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.04174930316735259, 'throttle': 0.0, 'brake': 0.2159127235412598}
2024_04_16__19:27:20.021035: Iter 10, FPS: 10.9, STATE: {'speed': 7.92773962020874, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.893079474240539, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.0256448448172788, 'throttle': 0.0, 'brake': 0.292773962020874}
