2024_04_18__14:35:15.380868: CONFIG: VISUALIZE: True, CAMERA_MODE: image, COMM_MODE: serial, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__14:35:23.752521: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:23.834303: Iter 1, FPS: 0.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.579622614809542, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:23.919076: Iter 2, FPS: 12.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.378749287993129, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:23.998900: Iter 3, FPS: 11.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.937102801344464, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:24.087198: Iter 4, FPS: 12.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.527452965720753, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:24.207537: Iter 5, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.325396589666392, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:24.329356: Iter 6, FPS: 8.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.379340449462894, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:24.459968: Iter 7, FPS: 8.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.209348662603393, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:24.576288: Iter 8, FPS: 7.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.714939484236472, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:24.713051: Iter 9, FPS: 8.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.597052125843193, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:24.822629: Iter 10, FPS: 7.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.265657101084746, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:24.949933: Iter 11, FPS: 9.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.198942878134904, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:25.069920: Iter 12, FPS: 7.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.7911368774183005, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:25.178374: Iter 13, FPS: 8.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.354138823215413, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:25.306031: Iter 14, FPS: 9.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.285678863660515, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:25.422719: Iter 15, FPS: 7.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.833539087348649, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:25.536452: Iter 16, FPS: 8.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.569843040623097, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:25.664714: Iter 17, FPS: 8.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.71532822447928, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:25.786330: Iter 18, FPS: 7.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.858239687042151, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:25.912124: Iter 19, FPS: 8.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.286599954559374, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:26.038380: Iter 20, FPS: 7.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.886757826015013, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:26.159008: Iter 21, FPS: 7.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.919818125514543, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:26.282713: Iter 22, FPS: 8.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.359983416780942, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:26.406891: Iter 23, FPS: 8.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.083753488443808, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:35:26.533551: Iter 24, FPS: 8.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.119055361982191, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
