2024_04_18__14:56:09.285416: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__14:56:24.038647: Iter 0, FPS: -1.0, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08632338430939474, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:56:24.177235: Iter 1, FPS: 0.4, STATE: {'speed': 7.747199560981244e-06, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.35657887958012097, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08632208359945809, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:56:24.315679: Iter 2, FPS: 6.9, STATE: {'speed': 0.6706655621528625, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 6.922436045552072, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08669316773543473, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:56:24.429376: Iter 3, FPS: 7.6, STATE: {'speed': 1.722206711769104, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.597991406233017, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0910035314654688, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:56:24.538120: Iter 4, FPS: 8.8, STATE: {'speed': 2.7183501720428467, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.795339688557661, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08685228051100119, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:56:24.671321: Iter 5, FPS: 9.3, STATE: {'speed': 3.649754047393799, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.281117370850463, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.07674362222017544, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:56:24.774324: Iter 6, FPS: 7.6, STATE: {'speed': 4.70515251159668, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.565087684807252, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.07173648548976314, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:56:24.881809: Iter 7, FPS: 9.7, STATE: {'speed': 5.730235576629639, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.708497676055034, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.06828466304657926, 'throttle': 0.0, 'brake': 0.07302355766296387}
2024_04_18__14:56:25.006514: Iter 8, FPS: 9.2, STATE: {'speed': 6.772204399108887, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.214989860730599, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.04408685014798408, 'throttle': 0.0, 'brake': 0.17722043991088868}
2024_04_18__14:56:25.137142: Iter 9, FPS: 8.1, STATE: {'speed': 7.549084186553955, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.085966447792039, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.03035285352875544, 'throttle': 0.0, 'brake': 0.25490841865539554}
2024_04_18__14:56:25.240809: Iter 10, FPS: 7.7, STATE: {'speed': 8.128902435302734, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.714286765273879, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.12654467077152498, 'throttle': 0.0, 'brake': 0.31289024353027345}
