2024_04_18__15:01:58.988596: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: serial, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__15:02:05.934773: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08852936445827653, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:02:06.026527: Iter 1, FPS: 0.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.679820912427292, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08819335110251031, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:02:06.165463: Iter 2, FPS: 7.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.146466384736227, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08843756160040406, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:02:06.258215: Iter 3, FPS: 11.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.140841478963026, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08858334459681283, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:02:06.362978: Iter 4, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.666775174714912, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08866546157770772, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:02:06.456309: Iter 5, FPS: 9.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.637093457407088, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08857702732798539, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:02:06.545071: Iter 6, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.714542263685342, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08825306901324365, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:02:06.642807: Iter 7, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.266046371704235, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08847265616068856, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:02:06.736557: Iter 8, FPS: 10.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.231606884977166, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08824910782303141, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:02:06.824322: Iter 9, FPS: 10.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.554522715491427, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08843638392555941, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:02:06.924054: Iter 10, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.393973638744308, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08866430943457287, 'throttle': 0.0, 'brake': 0.0}
