2024_04_18__15:11:09.809146: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__15:11:17.908948: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8381039388478311, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:17.987740: Iter 1, FPS: 0.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.6296074800473628, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8376189117778997, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:18.074505: Iter 2, FPS: 12.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.378603154927914, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8373574873366698, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:18.160341: Iter 3, FPS: 11.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.79623301637122, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8369313801590762, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:18.247088: Iter 4, FPS: 11.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.787149734288452, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8376755280052549, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:18.334810: Iter 5, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.657612336050653, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.837381365958453, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:18.414597: Iter 6, FPS: 11.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.524997870475447, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8382171196228299, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:18.501367: Iter 7, FPS: 12.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.378785821798543, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8381713306901021, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:18.594118: Iter 8, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.658584449120388, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8369098691559999, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:18.687866: Iter 9, FPS: 10.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.78160730443366, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8376889297562777, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:18.789110: Iter 10, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.666883684970804, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8373668744677278, 'throttle': 0.0, 'brake': 0.0}
