2024_04_18__15:13:06.897439: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__15:13:14.632390: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.495889080415237, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:14.716165: Iter 1, FPS: 0.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.6123280707691329, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.496050959084788, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:14.799947: Iter 2, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.659102975718913, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.729344783476306, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:14.886747: Iter 3, FPS: 12.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.378164776433021, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.643879242282062, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:14.972802: Iter 4, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.654016926830082, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9897874694787463, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.060564: Iter 5, FPS: 11.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.751482837746591, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9840077097850838, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.144340: Iter 6, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.26643977834067, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9948827915540752, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.227118: Iter 7, FPS: 11.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.936661164551198, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.984958759581964, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.320869: Iter 8, FPS: 12.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.22779245162005, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9876336620438475, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.410629: Iter 9, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.666503908733489, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9796483409167107, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.500390: Iter 10, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.26647004152766, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9842293464380483, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.582171: Iter 11, FPS: 11.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.140575156246264, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9778639946351833, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.671930: Iter 12, FPS: 12.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.227899396812347, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9750409311818207, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.755749: Iter 13, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.266167416973774, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9692059583453042, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.869404: Iter 14, FPS: 12.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.074143802590255, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.965013688116235, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:15.952182: Iter 15, FPS: 8.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.798586957889835, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9530599233963702, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.038948: Iter 16, FPS: 12.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.080264283430731, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9551674447950932, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.125125: Iter 17, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.659135385162783, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9406896108246233, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.212258: Iter 18, FPS: 11.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.603977269583405, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9456338893374768, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.296034: Iter 19, FPS: 11.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.476748544988384, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9430992055035485, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.386792: Iter 20, FPS: 12.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.08036866359447, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9379184359102887, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.475558: Iter 21, FPS: 11.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.018359975306371, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9269549077051126, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.555341: Iter 22, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.393633175507366, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9286073236584063, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.645291: Iter 23, FPS: 12.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.533292694223569, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9309083706877249, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.730064: Iter 24, FPS: 11.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.241979881691696, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9207081725839072, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.817409: Iter 25, FPS: 11.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.796199840253793, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9159807406104705, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.900186: Iter 26, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.449461144535558, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9108745132195369, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:16.984959: Iter 27, FPS: 12.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.227614213789908, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9104988996524754, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.071728: Iter 28, FPS: 11.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.936559253008825, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.8702727945313495, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.154571: Iter 29, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.659427078265946, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.8368167170925455, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.250485: Iter 30, FPS: 12.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.070981667482085, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.7949666195007049, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.335025: Iter 31, FPS: 10.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.425992995155273, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9158792731866421, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.418800: Iter 32, FPS: 11.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.936457343206616, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.8019843892594597, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.512549: Iter 33, FPS: 11.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.93676307783378, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.6799575024859005, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.599318: Iter 34, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.666693793471765, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5522449767769594, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.689077: Iter 35, FPS: 11.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.524966202477385, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.502889614521224, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.775844: Iter 36, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.266106894013872, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.475480962049613, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.854032: Iter 37, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.394066495885774, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.4378562112514319, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:17.940312: Iter 38, FPS: 12.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.796602464555614, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.37856211392361055, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:18.034063: Iter 39, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.719992399602097, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.2972103615042808, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:18.120889: Iter 40, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.666558160826, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.2355373977084252, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:18.221670: Iter 41, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.393880783116328, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.1853091792983933, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:18.307444: Iter 42, FPS: 10.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.015961333645365, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.1538107508834966, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:18.388227: Iter 43, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.658552042739366, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.13823069197868654, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:18.475989: Iter 44, FPS: 12.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.378931959176686, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.06448143375232185, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:18.572733: Iter 45, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.265774029357651, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.05665655997174196, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:18.653583: Iter 46, FPS: 10.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.444712280736704, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.1701593978688984, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:13:18.742278: Iter 47, FPS: 12.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.368674194280862, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.2567082559968883, 'throttle': 0.0, 'brake': 0.0}
