2024_04_18__16:27:19.418129: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:27:27.745737: Iter 0, FPS: -1.0, STATE: {'status': 'as_driving', 'speed': -0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.2645315378610308, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:27:27.832507: Iter 1, FPS: 0.6, STATE: {'status': 'as_driving', 'speed': 0.39349350333213806, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.628964049527104, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.26489842212727, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:27:27.920315: Iter 2, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 1.2590209245681763, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.524712864757927, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.26564750149418703, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:27:28.010033: Iter 3, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 2.3314356803894043, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.388528667470377, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.2635536660454077, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:27:28.089819: Iter 4, FPS: 11.1, STATE: {'status': 'as_driving', 'speed': 3.128390073776245, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.145933650095134, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.2428379591684518, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:27:28.179811: Iter 5, FPS: 12.4, STATE: {'status': 'as_driving', 'speed': 3.87835955619812, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.378603154927914, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.22004198568994643, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:27:28.259648: Iter 6, FPS: 11.2, STATE: {'status': 'as_driving', 'speed': 5.010199546813965, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.236889905749848, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.17546280924530605, 'throttle': 0.0, 'brake': 0.0010199546813964844}
2024_04_18__16:27:28.351859: Iter 7, FPS: 12.5, STATE: {'status': 'as_driving', 'speed': 5.556802272796631, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.52550759867527, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.5704853527491207, 'throttle': 0.0, 'brake': 0.05568022727966309}
2024_04_18__16:27:28.439624: Iter 8, FPS: 10.7, STATE: {'status': 'as_driving', 'speed': 6.659653186798096, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.728766562643884, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.5194572548700775, 'throttle': 0.0, 'brake': 0.16596531867980957}
2024_04_18__16:27:28.530679: Iter 9, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 7.159721374511719, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.524871199527388, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.47825710815010397, 'throttle': 0.0, 'brake': 0.21597213745117189}
2024_04_18__16:27:28.614458: Iter 10, FPS: 10.9, STATE: {'status': 'as_driving', 'speed': 7.330949306488037, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.86331449528358, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.450677498336973, 'throttle': 0.0, 'brake': 0.2330949306488037}
