2024_04_18__16:33:04.709778: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:33:12.939461: Iter 0, FPS: -1.0, STATE: {'status': 'as_driving', 'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09189245072681085, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:33:13.030285: Iter 1, FPS: 0.6, STATE: {'status': 'as_driving', 'speed': -4.134763003094122e-06, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.6004455916759135, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09152978713150234, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:33:13.113624: Iter 2, FPS: 11.0, STATE: {'status': 'as_driving', 'speed': 0.6328290700912476, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.010348031983872, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09191754014818426, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:33:13.199353: Iter 3, FPS: 12.0, STATE: {'status': 'as_driving', 'speed': 1.4214226007461548, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.992805981671838, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09202442817258505, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:33:13.288095: Iter 4, FPS: 11.8, STATE: {'status': 'as_driving', 'speed': 2.5165231227874756, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.801875670032894, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08518516427782735, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:33:13.375365: Iter 5, FPS: 11.1, STATE: {'status': 'as_driving', 'speed': 3.3181352615356445, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.140220079096736, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08304227083397914, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:33:13.463158: Iter 6, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 4.356923580169678, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.467021715772983, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.07576889912727214, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:33:13.558838: Iter 7, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 5.118831634521484, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.516295722750312, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.06252069045995395, 'throttle': 0.0, 'brake': 0.011883163452148439}
2024_04_18__16:33:13.646602: Iter 8, FPS: 10.3, STATE: {'status': 'as_driving', 'speed': 6.180341720581055, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.343689425737496, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.053297897885409395, 'throttle': 0.0, 'brake': 0.11803417205810547}
2024_04_18__16:33:13.734367: Iter 9, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 7.09312629699707, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.388343135178578, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.03788001906408728, 'throttle': 0.0, 'brake': 0.20931262969970704}
2024_04_18__16:33:13.823200: Iter 10, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 7.621879577636719, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.399702661640362, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.014682177872614777, 'throttle': 0.0, 'brake': 0.2621879577636719}
