               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069961,             0.01731,                   0,            0.059663,             0.69302,            0.070327,            0.021262,            0.061166,            0.018994,                   0,           0.0015686,           0.0015686,            0.027059
                   1,            0.055273,            0.014545,                   0,             0.54933,             0.53928,             0.49989,             0.18782,            0.043352,            0.016261,                   0,           0.0028898,           0.0028898,             0.00338
                   0,            0.078858,            0.016579,            0.013401,           0.0007935,            0.015907,           0.0004072,          0.00011776,            0.076585,            0.017846,            0.013321,           0.0015686,           0.0015686,            0.027059
                   1,            0.072661,            0.016178,            0.013391,           0.0036659,            0.078019,           0.0038041,           0.0010991,            0.064531,            0.023562,             0.01327,           0.0028898,           0.0028898,             0.00338
                   2,            0.054318,            0.023647,            0.013431,            0.027073,             0.57987,             0.14578,            0.048159,            0.044262,             0.03414,            0.013331,           0.0026368,           0.0026368,           0.0026368
                   3,            0.042915,            0.025705,            0.013421,             0.23557,             0.35172,             0.17297,            0.064806,            0.038909,             0.02951,            0.013315,           0.0026368,           0.0026368,           0.0026368
                   4,            0.040186,            0.019207,            0.013488,             0.24249,             0.45223,             0.19332,            0.072475,            0.036009,            0.019208,             0.01332,           0.0023552,           0.0023552,           0.0023552
                   5,             0.03786,            0.013928,            0.013379,             0.27041,              0.4823,             0.22036,            0.089895,            0.034795,            0.015376,            0.013253,           0.0020736,           0.0020736,           0.0020736
                   6,            0.036233,            0.012189,            0.013282,             0.27365,             0.49476,             0.22608,            0.092912,            0.033118,            0.014436,            0.013258,            0.001792,            0.001792,            0.001792
                   7,            0.034987,            0.011616,            0.013249,             0.27893,             0.50814,             0.23391,            0.098137,            0.032859,            0.013982,            0.013257,           0.0015104,           0.0015104,           0.0015104
                   8,            0.033947,            0.010988,            0.013199,             0.28364,             0.50968,             0.23903,             0.10316,             0.03185,            0.013621,            0.013289,           0.0012288,           0.0012288,           0.0012288
                   9,            0.033078,            0.011116,            0.013196,             0.28313,              0.5144,             0.24217,             0.10608,            0.031772,            0.013469,            0.013338,           0.0009472,           0.0009472,           0.0009472
                   0,            0.069962,            0.017312,                   0,            0.059629,             0.69302,            0.070507,            0.021287,            0.061167,             0.01899,                   0,           0.0015686,           0.0015686,            0.027059
                   1,            0.055274,            0.014545,                   0,             0.54996,              0.5399,             0.50028,             0.18802,            0.043354,            0.016263,                   0,           0.0028898,           0.0028898,             0.00338
                   2,            0.037338,            0.013559,                   0,             0.83337,             0.59408,             0.68708,             0.31045,            0.032008,            0.015146,                   0,           0.0026368,           0.0026368,           0.0026368
                   3,            0.032878,            0.011949,                   0,              0.8489,             0.63919,             0.72093,             0.33949,            0.030986,            0.014072,                   0,           0.0026368,           0.0026368,           0.0026368
                   4,            0.031845,            0.011468,                   0,              0.8609,             0.64831,              0.7341,             0.34236,            0.030328,            0.013708,                   0,           0.0023552,           0.0023552,           0.0023552
                   5,            0.031285,            0.011206,                   0,             0.88357,             0.65761,             0.74299,             0.35778,            0.029772,            0.013345,                   0,           0.0020736,           0.0020736,           0.0020736
                   6,            0.030558,            0.010793,                   0,             0.88897,             0.66586,             0.74813,             0.36899,             0.02951,            0.013065,                   0,            0.001792,            0.001792,            0.001792
                   7,             0.03035,            0.010265,                   0,             0.88342,             0.66974,             0.75112,             0.36685,            0.029458,            0.012906,                   0,           0.0015104,           0.0015104,           0.0015104
                   8,             0.03012,            0.010392,                   0,             0.88838,             0.67216,             0.75396,             0.37502,            0.029185,            0.012788,                   0,           0.0012288,           0.0012288,           0.0012288
                   9,            0.030384,            0.010287,                   0,             0.89279,             0.67313,             0.75522,             0.37977,            0.029098,            0.012702,                   0,           0.0009472,           0.0009472,           0.0009472
