               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099595,            0.050147,            0.037933,             0.14336,             0.21192,            0.097437,            0.026076,            0.077985,            0.042063,            0.037702,            0.003268,            0.003268,            0.070588
                   1,            0.075074,            0.032254,            0.034267,             0.11678,             0.18804,            0.081289,             0.02286,            0.078029,            0.043284,            0.033464,            0.006536,            0.006536,            0.040523
                   2,            0.068838,            0.030913,            0.025304,             0.41536,             0.40432,             0.33462,             0.13171,            0.055213,             0.03518,            0.016811,           0.0097379,           0.0097379,            0.010392
                   3,            0.059948,            0.027953,            0.011346,             0.67141,             0.39662,             0.40599,             0.14775,            0.056654,             0.03319,           0.0071984,            0.009703,            0.009703,            0.009703
                   4,            0.053561,               0.027,           0.0068362,             0.78204,             0.47962,              0.5586,              0.2383,             0.04647,            0.032168,           0.0049659,            0.009703,            0.009703,            0.009703
                   5,            0.045727,            0.026192,           0.0057405,             0.76019,             0.51889,             0.57432,              0.2549,            0.046822,            0.031642,           0.0044961,            0.009604,            0.009604,            0.009604
                   6,            0.045513,            0.026335,           0.0064111,             0.69822,             0.44438,             0.48831,             0.19618,            0.044847,            0.035438,           0.0057796,            0.009505,            0.009505,            0.009505
                   7,            0.043127,            0.025069,           0.0048111,             0.77519,             0.48633,             0.55446,             0.21349,            0.048014,            0.033525,            0.003646,            0.009406,            0.009406,            0.009406
                   8,            0.041703,            0.024878,           0.0043255,             0.80302,             0.55809,             0.60539,             0.29046,            0.038522,             0.03063,            0.003067,            0.009307,            0.009307,            0.009307
                   9,             0.03958,            0.023981,           0.0039324,             0.79949,             0.59842,             0.66213,             0.30562,            0.039858,            0.029687,           0.0032517,            0.009208,            0.009208,            0.009208
                  10,            0.038411,            0.023716,           0.0036674,             0.84971,             0.61221,              0.6674,             0.31927,            0.036998,            0.029129,           0.0025864,            0.009109,            0.009109,            0.009109
                  11,            0.037307,             0.02384,           0.0037993,             0.81808,             0.63757,             0.69704,             0.32088,            0.037894,            0.029338,           0.0025872,             0.00901,             0.00901,             0.00901
                  12,            0.035036,            0.022422,           0.0034758,             0.85606,              0.6428,             0.70215,              0.3459,            0.034632,            0.028063,           0.0025907,            0.008911,            0.008911,            0.008911
                  13,             0.03637,            0.022757,            0.003479,             0.86128,             0.63521,             0.69121,             0.32822,            0.036205,            0.028812,           0.0024086,            0.008812,            0.008812,            0.008812
                  14,             0.03437,            0.022563,           0.0033621,               0.833,             0.64045,             0.69757,             0.34493,            0.033469,            0.027987,           0.0023871,            0.008713,            0.008713,            0.008713
                  15,            0.033962,            0.022364,            0.003139,             0.87638,             0.59583,             0.67684,              0.3027,            0.039309,            0.029468,           0.0027516,            0.008614,            0.008614,            0.008614
                  16,            0.034768,             0.02218,           0.0029753,             0.85841,              0.6505,             0.71001,             0.36734,            0.032786,             0.02773,           0.0022951,            0.008515,            0.008515,            0.008515
                  17,             0.03326,            0.022719,           0.0030261,             0.82884,             0.65628,             0.71256,             0.33648,            0.034509,            0.027988,           0.0021659,            0.008416,            0.008416,            0.008416
                  18,            0.033099,            0.022244,           0.0029812,             0.88653,             0.65322,             0.71823,             0.36351,            0.031964,            0.028103,           0.0023837,            0.008317,            0.008317,            0.008317
                  19,            0.032189,            0.022171,           0.0031085,             0.87295,             0.66128,             0.72789,              0.3704,            0.031984,            0.027523,           0.0019763,            0.008218,            0.008218,            0.008218
                  20,            0.033004,            0.021571,           0.0030444,             0.87989,             0.66557,             0.72881,             0.37616,            0.033216,            0.027457,           0.0019844,            0.008119,            0.008119,            0.008119
                  21,            0.031729,            0.021875,           0.0028521,              0.8657,             0.64247,             0.70781,             0.36933,             0.03222,            0.027542,           0.0021947,             0.00802,             0.00802,             0.00802
